"","order_item_id","pred"
"1",101857,0
"2",116043,0
"3",117334,0
"4",129770,0
"5",141547,0
"6",108722,0
"7",140452,1
"8",108711,0
"9",144853,0
"10",102942,0
"11",125936,0
"12",131383,0
"13",136681,0
"14",110653,1
"15",140391,0
"16",108018,0
"17",126392,0
"18",138777,0
"19",133237,0
"20",135268,0
"21",138561,0
"22",106828,0
"23",128110,0
"24",105762,0
"25",100390,0
"26",129824,0
"27",100684,0
"28",127322,0
"29",130027,0
"30",124813,0
"31",123869,0
"32",129086,0
"33",133249,0
"34",130062,0
"35",140582,0
"36",112707,0
"37",148407,0
"38",142413,0
"39",115681,0
"40",119788,0
"41",121096,0
"42",137062,0
"43",102027,0
"44",113018,0
"45",113359,0
"46",112576,0
"47",147873,0
"48",140546,0
"49",149454,0
"50",117984,0
"51",131856,0
"52",109163,0
"53",146274,0
"54",113533,0
"55",143527,0
"56",131198,0
"57",100074,0
"58",136156,0
"59",142920,0
"60",101747,0
"61",144383,0
"62",131523,0
"63",136380,0
"64",120825,0
"65",106328,0
"66",142355,0
"67",137531,0
"68",107915,0
"69",139062,0
"70",138192,0
"71",126227,0
"72",130864,0
"73",133357,0
"74",101202,0
"75",119040,0
"76",110855,0
"77",112511,0
"78",122511,0
"79",117177,0
"80",101597,0
"81",109444,0
"82",109176,0
"83",141395,0
"84",128805,0
"85",108605,0
"86",132744,0
"87",129058,0
"88",123995,0
"89",144236,0
"90",147524,0
"91",111917,0
"92",106776,0
"93",130660,0
"94",148113,0
"95",130474,0
"96",111141,0
"97",121630,0
"98",100715,0
"99",100243,0
"100",118967,0
"101",125995,0
"102",119588,0
"103",126406,0
"104",117350,0
"105",115417,0
"106",110733,0
"107",101241,1
"108",129411,1
"109",103544,0
"110",119973,0
"111",119258,0
"112",137348,0
"113",149499,0
"114",137617,0
"115",140148,0
"116",148895,0
"117",111325,0
"118",128914,0
"119",112173,0
"120",106819,0
"121",149770,0
"122",116655,0
"123",125071,0
"124",148810,0
"125",111625,0
"126",101204,0
"127",126405,0
"128",107829,0
"129",122163,0
"130",138347,0
"131",145649,0
"132",116597,0
"133",116100,0
"134",101065,0
"135",117290,0
"136",106687,1
"137",141204,0
"138",120860,0
"139",112752,0
"140",118263,0
"141",127660,0
"142",136911,0
"143",126797,0
"144",101776,0
"145",149350,0
"146",105948,0
"147",149339,0
"148",124990,0
"149",108050,0
"150",146492,0
"151",136851,0
"152",107647,0
"153",121235,0
"154",143970,0
"155",121568,0
"156",130072,0
"157",109129,0
"158",124417,0
"159",149478,0
"160",106914,0
"161",113023,0
"162",140972,0
"163",115025,0
"164",125456,1
"165",142456,0
"166",120269,0
"167",148368,0
"168",135489,0
"169",100041,0
"170",100809,0
"171",132072,0
"172",140785,0
"173",136543,0
"174",129528,0
"175",109127,0
"176",142018,0
"177",133508,0
"178",134510,0
"179",106310,0
"180",121169,0
"181",117602,0
"182",126098,0
"183",100545,0
"184",104344,0
"185",126966,0
"186",135863,0
"187",112248,0
"188",135438,0
"189",129373,0
"190",143449,0
"191",144607,0
"192",127831,0
"193",132769,0
"194",106871,0
"195",123475,0
"196",102483,0
"197",132812,0
"198",136378,0
"199",134661,0
"200",114722,0
"201",105651,0
"202",120580,0
"203",142651,0
"204",147414,0
"205",145216,0
"206",135565,0
"207",124381,0
"208",119005,0
"209",123031,0
"210",119313,0
"211",149854,0
"212",101626,0
"213",140366,0
"214",145969,0
"215",142746,0
"216",110517,0
"217",130809,0
"218",141858,0
"219",144299,0
"220",129459,0
"221",107980,0
"222",110714,0
"223",145955,1
"224",143331,0
"225",117003,0
"226",105513,0
"227",118181,0
"228",138176,0
"229",109172,0
"230",115611,0
"231",114761,0
"232",135547,0
"233",144649,0
"234",113929,0
"235",118297,0
"236",121130,0
"237",134521,0
"238",104722,0
"239",114368,0
"240",128138,0
"241",110909,0
"242",142650,0
"243",138568,0
"244",128354,0
"245",107009,0
"246",139548,0
"247",137139,0
"248",107728,0
"249",148671,0
"250",100421,0
"251",103413,0
"252",124969,0
"253",116181,0
"254",149665,0
"255",141850,0
"256",144920,0
"257",101375,0
"258",118731,0
"259",102917,0
"260",103171,0
"261",106905,0
"262",135637,0
"263",111641,0
"264",127300,0
"265",116294,0
"266",118443,0
"267",127350,0
"268",131213,0
"269",105017,0
"270",124416,0
"271",124470,0
"272",106504,0
"273",124003,0
"274",108899,0
"275",148781,0
"276",110431,0
"277",113735,0
"278",133868,0
"279",116198,0
"280",134910,0
"281",146031,0
"282",138943,0
"283",102178,0
"284",101345,0
"285",141780,0
"286",110894,0
"287",144216,0
"288",149127,0
"289",134771,0
"290",138748,0
"291",145591,0
"292",108988,0
"293",121162,0
"294",146115,0
"295",147361,0
