"order_item_id","return"
1,1
2,1
3,1
4,1
5,1
6,1
7,0
8,1
9,0
10,0
11,0
12,1
13,0
14,1
15,0
16,1
17,1
18,1
19,0
20,0
21,1
22,1
23,0
24,0
25,1
26,1
27,1
28,0
29,0
30,1
31,1
32,0
33,1
34,1
35,1
36,0
37,1
38,1
39,1
40,0
41,1
42,0
43,1
44,0
45,0
46,1
47,1
48,0
49,1
50,1
51,1
52,1
53,0
54,1
55,1
56,0
57,1
58,0
59,0
60,1
61,0
62,0
63,0
64,1
65,0
66,1
67,0
68,0
69,1
70,0
71,0
72,0
73,1
74,1
75,1
76,0
77,1
78,0
79,0
80,1
81,0
82,0
83,0
84,1
85,0
86,1
87,0
88,1
89,0
90,0
91,0
92,0
93,1
94,1
95,0
96,1
97,0
98,0
99,1
100,1
101,1
102,0
103,0
104,0
105,1
106,0
107,1
108,1
109,0
110,0
111,0
112,0
113,1
114,1
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,1
123,0
124,1
125,0
126,1
127,0
128,0
129,0
130,0
131,0
132,1
133,1
134,0
135,0
136,1
137,1
138,0
139,1
140,1
141,0
142,1
143,0
144,0
145,0
146,1
147,0
148,1
149,0
150,0
151,1
152,0
153,1
154,1
155,1
156,1
157,1
158,0
159,0
160,1
161,1
162,1
163,0
164,1
165,0
166,1
167,1
168,1
169,0
170,0
171,1
172,0
173,0
174,1
175,1
176,1
177,0
178,1
179,1
180,0
181,0
182,0
183,1
184,0
185,1
186,1
187,0
188,0
189,0
190,1
191,0
192,0
193,0
194,1
195,0
196,0
197,1
198,0
199,1
200,0
201,1
202,1
203,0
204,1
205,1
206,0
207,1
208,0
209,1
210,1
211,1
212,1
213,0
214,0
215,1
216,1
217,1
218,1
219,0
220,1
221,0
222,0
223,0
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,0
232,0
233,0
234,0
235,1
236,1
237,0
238,1
239,1
240,0
241,0
242,0
243,1
244,1
245,0
246,1
247,0
248,1
249,1
250,0
251,0
252,1
253,1
254,0
255,1
256,1
257,1
258,0
259,1
260,1
261,0
262,0
263,1
264,0
265,1
266,1
267,1
268,0
269,1
270,0
271,0
272,0
273,0
274,0
275,1
276,0
277,1
278,0
279,0
280,0
281,1
282,1
283,0
284,0
285,1
286,0
287,0
288,1
289,0
290,1
291,1
292,1
293,1
294,1
295,0
296,1
297,1
298,1
299,0
300,1
301,0
302,0
303,1
304,0
305,0
306,0
307,0
308,0
309,1
310,1
311,1
312,0
313,1
314,1
315,1
316,1
317,0
318,0
319,0
320,0
321,1
322,1
323,0
324,1
325,0
326,1
327,1
328,0
329,0
330,0
331,1
332,1
333,0
334,1
335,1
336,0
337,1
338,0
339,0
340,0
341,1
342,0
343,0
344,0
345,1
346,0
347,0
348,1
349,1
350,1
351,0
352,0
353,1
354,0
355,1
356,1
357,0
358,1
359,0
360,1
361,0
362,1
363,1
364,0
365,1
366,0
367,0
368,0
369,1
370,0
371,1
372,1
373,0
374,1
375,0
376,0
377,0
378,1
379,0
380,1
381,0
382,1
383,1
384,1
385,0
386,1
387,0
388,0
389,1
390,0
391,0
392,0
393,0
394,1
395,1
396,1
397,1
398,0
399,1
400,1
401,0
402,1
403,1
404,0
405,1
406,1
407,1
408,0
409,1
410,1
411,1
412,1
413,1
414,0
415,1
416,1
417,1
418,0
419,0
420,0
421,1
422,0
423,1
424,0
425,0
426,0
427,0
428,0
429,0
430,1
431,0
432,1
433,1
434,0
435,0
436,0
437,1
438,0
439,0
440,1
441,1
442,1
443,0
444,1
445,0
446,1
447,1
448,1
449,0
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,0
458,1
459,0
460,1
461,0
462,1
463,0
464,0
465,1
466,0
467,0
468,0
469,1
470,0
471,0
472,1
473,1
474,1
475,1
476,1
477,0
478,0
479,0
480,1
481,0
482,1
483,1
484,1
485,1
486,0
487,1
488,1
489,0
490,1
491,0
492,0
493,1
494,0
495,0
496,0
497,0
498,1
499,0
500,0
501,0
502,0
503,0
504,1
505,1
506,0
507,1
508,1
509,1
510,0
511,0
512,0
513,1
514,0
515,0
516,1
517,1
518,0
519,1
520,0
521,0
522,0
523,0
524,1
525,1
526,0
527,1
528,0
529,1
530,0
531,1
532,1
533,0
534,1
535,0
536,0
537,0
538,0
539,0
540,1
541,0
542,0
543,0
544,1
545,1
546,0
547,1
548,0
549,0
550,1
551,1
552,0
553,1
554,0
555,1
556,1
557,1
558,1
559,0
560,1
561,1
562,0
563,1
564,1
565,0
566,0
567,1
568,1
569,0
570,1
571,0
572,1
573,1
574,1
575,1
576,1
577,0
578,1
579,0
580,0
581,1
582,1
583,1
584,1
585,0
586,0
587,1
588,0
589,1
590,1
591,1
592,0
593,0
594,1
595,1
596,0
597,1
598,0
599,1
600,1
