"order_item_id","return"
101857,1
116043,1
117334,1
129770,0
141547,1
108722,1
140452,1
108711,1
144853,1
102942,1
125936,1
131383,1
136681,0
110653,1
140391,1
108018,1
126392,1
138777,1
133237,1
135268,1
138561,1
106828,1
128110,1
105762,1
100390,0
129824,1
100684,1
127322,1
130027,1
124813,1
123869,1
129086,1
133249,1
130062,1
140582,0
112707,1
148407,0
142413,1
115681,1
119788,1
121096,1
137062,1
102027,1
113018,1
113359,1
112576,1
147873,1
140546,1
149454,1
117984,1
131856,1
109163,1
146274,1
113533,1
143527,1
131198,1
100074,1
136156,1
142920,1
101747,1
144383,1
131523,1
136380,1
120825,1
106328,1
142355,0
137531,1
107915,0
139062,1
138192,1
126227,1
130864,1
133357,1
101202,1
119040,1
110855,1
112511,0
122511,1
117177,1
101597,1
109444,1
109176,1
141395,1
128805,0
108605,0
132744,1
129058,1
123995,1
144236,1
147524,1
111917,1
106776,1
130660,1
148113,1
130474,0
111141,1
121630,1
100715,1
100243,1
118967,1
125995,1
119588,1
126406,1
117350,1
115417,1
110733,1
101241,1
129411,1
103544,1
119973,1
119258,1
137348,1
149499,1
137617,1
140148,1
148895,1
111325,1
128914,1
112173,1
106819,1
149770,1
116655,1
125071,1
148810,1
111625,0
101204,1
126405,1
107829,1
122163,1
138347,1
145649,1
116597,1
116100,1
101065,1
117290,1
106687,1
141204,0
120860,1
112752,0
118263,1
127660,0
136911,1
126797,1
101776,1
149350,1
105948,1
149339,1
124990,1
108050,1
146492,1
136851,1
107647,1
121235,1
143970,1
121568,0
130072,1
109129,0
124417,0
149478,1
106914,1
113023,0
140972,1
115025,1
125456,1
142456,1
120269,1
148368,1
135489,0
100041,1
100809,1
132072,1
140785,1
136543,0
129528,1
109127,1
142018,1
133508,1
134510,1
106310,1
121169,0
117602,1
126098,0
100545,1
104344,1
126966,0
135863,0
112248,1
135438,0
129373,1
143449,1
144607,0
127831,1
132769,1
106871,1
123475,1
102483,1
132812,1
136378,1
134661,1
114722,1
105651,1
120580,1
142651,1
147414,1
145216,1
135565,0
124381,1
119005,1
123031,1
119313,1
149854,1
101626,1
140366,1
145969,1
142746,1
110517,1
130809,1
141858,1
144299,1
129459,1
107980,1
110714,0
